% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 7 2022, 14:52
% Dimension:          1
% Nodes:              241
% Expressions:        1
% Description:        Global
% -E_time (V)             Value
-0.3                      3.1414492046273454E-8
-0.295                    6.0999482514884256E-9
-0.29                     6.0605637298536964E-9
-0.285                    6.576478322994599E-9
-0.27999999999999997      7.532249645288614E-9
-0.27499999999999997      8.859292587604574E-9
-0.27                     1.0759819999188469E-8
-0.265                    1.3005112316946076E-8
-0.26                     1.5675750300533795E-8
-0.255                    1.8959519531384536E-8
-0.25                     2.2986954951608427E-8
-0.245                    2.7834919184943405E-8
-0.24                     3.374802244417194E-8
-0.235                    4.0944896800718344E-8
-0.22999999999999998      4.969312537907391E-8
-0.22499999999999998      6.032516118114387E-8
-0.21999999999999997      7.32445166272555E-8
-0.215                    8.894125052510313E-8
-0.21                     1.0801072997362149E-7
-0.20500000000000002      1.3117598760593295E-7
-0.2                      1.5931492850027057E-7
-0.195                    1.9349333050797225E-7
-0.19                     2.3500481377539677E-7
-0.185                    2.8541922318986684E-7
-0.18                     3.4664114560626686E-7
-0.175                    4.2098061369921564E-7
-0.16999999999999998      5.112384316290287E-7
-0.16499999999999998      6.208089954990835E-7
-0.16                     7.538039735413115E-7
-0.15499999999999997      9.152007505829249E-7
-0.15                     1.1110201124843889E-6
-0.14500000000000002      1.3485382177431178E-6
-0.13999999999999999      1.6365384211215995E-6
-0.13499999999999998      1.9856088892789932E-6
-0.13                     2.408492041731422E-6
-0.12500000000000003      2.9204914503795613E-6
-0.12                     3.5399406241936565E-6
-0.11499999999999999      4.288735640993448E-6
-0.11000000000000001      5.1929292319075904E-6
-0.10499999999999998      6.283376813198288E-6
-0.1                      7.5964139630187226E-6
-0.095                    9.174528545987985E-6
-0.09                     1.1066967462653303E-5
-0.08500000000000002      1.3330186181111302E-5
-0.07999999999999999      1.6028007533903443E-5
-0.07500000000000001      1.9231304690597174E-5
-0.06999999999999998      2.301696427866622E-5
-0.065                    2.7465826469709986E-5
-0.06                     3.265925389070099E-5
-0.05499999999999999      3.86739749113896E-5
-0.05000000000000002      4.557491521200965E-5
-0.044999999999999984     5.340591983077062E-5
-0.03999999999999998      6.217862074278622E-5
-0.034999999999999976     7.186024491418487E-5
-0.02999999999999997      8.236185133366283E-5
-0.025000000000000022     9.352920546594832E-5
-0.020000000000000018     1.051390042080974E-4
-0.015000000000000013     1.1690312891948117E-4
-0.009999999999999953     1.2848273275476886E-4
-0.0050000000000000044    1.3951217780318597E-4
0                         1.496304288329079E-4
0.0050000000000000044     1.585151961136548E-4
0.009999999999999953      1.6591379881877112E-4
0.015000000000000013      1.7166505282725187E-4
0.020000000000000018      1.7570850127694737E-4
0.024999999999999967      1.7808031929715203E-4
0.030000000000000027      1.7889816050466902E-4
0.03500000000000003       1.7833913262218395E-4
0.03999999999999998       1.7661558839129516E-4
0.044999999999999984      1.7395268705771E-4
0.04999999999999993       1.7057027248086436E-4
0.05499999999999999       1.6667011462968826E-4
0.06                      1.6242837371010501E-4
0.06500000000000006       1.5799242555180178E-4
0.07                      1.5348089921472623E-4
0.07500000000000001       1.4898579673156757E-4
0.07999999999999996       1.4457575116960704E-4
0.08499999999999996       1.40299723293589E-4
0.09000000000000002       1.3619067100797136E-4
0.09499999999999997       1.3226891706471068E-4
0.09999999999999998       1.2854508075453257E-4
0.10499999999999998       1.250225329346648E-4
0.10999999999999999       1.216993904766436E-4
0.11499999999999999       1.1857009642342251E-4
0.12                      1.1562664476538019E-4
0.12499999999999994       1.1285951060688304E-4
0.12999999999999995       1.102583423992259E-4
0.13500000000000006       1.078124660098075E-4
0.14                      1.0551124261011539E-4
0.14500000000000002       1.033443147866177E-4
0.14999999999999997       1.013026695933358E-4
0.15499999999999997       9.937898233678959E-5
0.16000000000000003       9.75608614411969E-5
0.16499999999999998       9.583833890513211E-5
0.16999999999999998       9.420559943659324E-5
0.175                     9.265676295668838E-5
0.18                      9.118507252751114E-5
0.185                     8.978445674963645E-5
0.19                      8.844979772486417E-5
0.19499999999999995       8.717636043973014E-5
0.19999999999999996       8.595966892012194E-5
0.20500000000000002       8.479565561302066E-5
0.21000000000000002       8.368065705228434E-5
0.21500000000000002       8.261132247564509E-5
0.22000000000000003       8.158457615302393E-5
0.22500000000000003       8.059760992915911E-5
0.23000000000000004       7.964786079716208E-5
0.23500000000000004       7.873298181841519E-5
0.24000000000000005       7.785082072019881E-5
0.24499999999999994       7.699940315544892E-5
0.24999999999999994       7.617691593652153E-5
0.25500000000000006       7.538169109764458E-5
0.25999999999999995       7.461219207336495E-5
0.26499999999999996       7.386700151649955E-5
0.26999999999999996       7.314481017900074E-5
0.27499999999999997       7.244440684761816E-5
0.2800000000000001        7.176466935922523E-5
0.2850000000000001        7.110455655330007E-5
0.29                      7.04631010239303E-5
0.295                     6.983940259817819E-5
0.3                       6.923262247642093E-5
0.295                     6.863765009186544E-5
0.29                      6.805881944245632E-5
0.2850000000000001        6.749703865218454E-5
0.2800000000000001        6.69491929208244E-5
0.2750000000000001        6.641389496379253E-5
0.26999999999999996       6.589132542661358E-5
0.26499999999999996       6.538107589745216E-5
0.25999999999999995       6.488224430765862E-5
0.25500000000000006       6.439416767710841E-5
0.25000000000000006       6.39163638782825E-5
0.24499999999999994       6.344827524668542E-5
0.23999999999999994       6.298928044650784E-5
0.23499999999999993       6.253876640170079E-5
0.22999999999999993       6.209610999462055E-5
0.22500000000000003       6.16606398902998E-5
0.22000000000000003       6.123162546192066E-5
0.21500000000000002       6.080826859622462E-5
0.21000000000000002       6.0389682946220925E-5
0.20500000000000002       5.997486777923622E-5
0.20000000000000012       5.9562680176081755E-5
0.19499999999999995       5.9151801990819976E-5
0.19                      5.874069894605716E-5
0.185                     5.8327571257898704E-5
0.18                      5.791029449422105E-5
0.17500000000000004       5.7486348335207926E-5
0.16999999999999993       5.705273066544044E-5
0.16499999999999992       5.660585420955905E-5
0.15999999999999998       5.614142238366765E-5
0.15499999999999997       5.5654280427598094E-5
0.14999999999999997       5.513823732885033E-5
0.14500000000000002       5.4585853498426726E-5
0.14                      5.398818863483112E-5
0.13500000000000006       5.333450382926303E-5
0.13000000000000006       5.2611911870471535E-5
0.1250000000000001        5.180497010469197E-5
0.12                      5.089336468741182E-5
0.11499999999999999       4.986255958891563E-5
0.10999999999999999       4.867915489551827E-5
0.10500000000000004       4.73131783367867E-5
0.10000000000000003       4.5728974443814206E-5
0.09499999999999992       4.3883963428601776E-5
0.09000000000000008       4.1728855214639074E-5
0.08499999999999996       3.920716909996682E-5
0.07999999999999996       3.625503953354231E-5
0.07500000000000001       3.280153866113366E-5
0.07                      2.876970603797685E-5
0.06500000000000006       2.40785953342038E-5
0.06000000000000005       1.864668945082612E-5
0.05499999999999994       1.2397039264678059E-5
0.0500000000000001        5.264415123052413E-6
0.044999999999999984      -2.7954255069415546E-6
0.04000000000000015       -1.1794599562398999E-5
0.03500000000000003       -2.170085757325226E-5
0.029999999999999916      -3.2425727028259314E-5
0.025000000000000022      -4.3815963187710295E-5
0.019999999999999907      -5.564884476891145E-5
0.015000000000000069      -6.763607435149561E-5
0.009999999999999953      -7.943805009243891E-5
0.0050000000000000044     -9.0688877150389E-5
0                         -1.010269948338175E-4
-0.0050000000000000044    -1.1012879659230982E-4
-0.009999999999999953     -1.177400274863899E-4
-0.014999999999999958     -1.2369832302735396E-4
-0.020000000000000073     -1.2794262625085326E-4
-0.02499999999999991      -1.3050901121894052E-4
-0.030000000000000027     -1.3151543088831013E-4
-0.034999999999999865     -1.3113958879424825E-4
-0.03999999999999998      -1.2959460212140186E-4
-0.045000000000000095     -1.271064428346413E-4
-0.04999999999999993      -1.2389572011596345E-4
-0.05500000000000008      -1.2016485594635566E-4
-0.06000000000000005      -1.1609052230296197E-4
-0.06500000000000003      -1.1182047212733116E-4
-0.07                     -1.0747359391499301E-4
-0.07500000000000001      -1.0314204895729866E-4
-0.07999999999999999      -9.88945500840858E-5
-0.0850000000000001       -9.47800825088251E-5
-0.08999999999999994      -9.083159436796446E-5
-0.09500000000000006      -8.706937795783086E-5
-0.0999999999999999       -8.350400954811447E-5
-0.10500000000000001      -8.01388111548366E-5
-0.11000000000000013      -7.697185136572315E-5
-0.11499999999999999      -7.399753004640345E-5
-0.1200000000000001       -7.120780491639804E-5
-0.12499999999999994      -6.85931215968856E-5
-0.13000000000000006      -6.614310528274162E-5
-0.13500000000000004      -6.384706453840592E-5
-0.14000000000000004      -6.169434899233049E-5
-0.14500000000000002      -5.967459493053104E-5
-0.15                     -5.777788634602804E-5
-0.15499999999999997      -5.59948534468731E-5
-0.1600000000000001       -5.431672572712852E-5
-0.16499999999999995      -5.273535259909826E-5
-0.17000000000000007      -5.124320136266837E-5
-0.1749999999999999       -4.983333981387566E-5
-0.18000000000000002      -4.849940888115185E-5
-0.18500000000000014      -4.723611814791621E-5
-0.19                     -4.6037983465925525E-5
-0.19500000000000012      -4.48990793629881E-5
-0.19999999999999996      -4.381597649118843E-5
-0.20500000000000007      -4.2784703345584095E-5
-0.21000000000000005      -4.180090694193948E-5
-0.21500000000000002      -4.0861233816376695E-5
-0.22000000000000003      -3.996293483562315E-5
-0.22499999999999998      -3.9103259755309284E-5
-0.22999999999999998      -3.827958018131457E-5
-0.2350000000000001       -3.7489570483229436E-5
-0.23999999999999994      -3.673113451168749E-5
-0.24500000000000005      -3.600232070682011E-5
-0.2499999999999999       -3.530132503400617E-5
-0.255                    -3.4626497888156095E-5
-0.2600000000000001       -3.397632387709409E-5
-0.26499999999999996      -3.334940266048351E-5
-0.2700000000000001       -3.274444028011579E-5
-0.27499999999999997      -3.216024147728174E-5
-0.2800000000000001       -3.1595699976704534E-5
-0.28500000000000003      -3.104978972784448E-5
-0.29000000000000004      -3.052155791475582E-5
-0.295                    -3.001011866947754E-5
-0.3                      -2.9514647154212975E-5
