% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 14:09
% Dimension:          1
% Nodes:              241
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
-0.175                    3.540558568451969E-8     3.5382117999184145E-8    3.5352676914752704E-8    3.512093645361554E-8     3.483857444468298E-8     3.278704621271671E-8     3.059467414733597E-8     2.031472278901044E-8     1.4515871401972026E-8    4.570167208215993E-9
-0.16999999999999998      4.299843093905045E-8     4.2966961156476977E-8    4.2927584082445315E-8    4.2617960806308105E-8    4.224163446152403E-8     3.952716098403912E-8     3.66626966182976E-8      2.3690339079057815E-8    1.6674792009769534E-8    5.110228002360422E-9
-0.16499999999999998      5.2216986922856226E-8    5.2174825042549326E-8    5.2122167960943995E-8    5.170864908338416E-8     5.120730264507609E-8     4.761928942962202E-8     4.388412678649051E-8     2.7568603571073672E-8    1.9115520713997906E-8    5.708151467220593E-9
-0.16                     6.34078850445802E-8      6.33514363429691E-8      6.328103502227254E-8     6.272897287517445E-8     6.206138870073788E-8     5.732394327682858E-8     5.246381092316657E-8     3.201341332728745E-8     2.1869234966748905E-8    6.369756178147166E-9
-0.15499999999999997      7.699099708150299E-8     7.691546079918641E-8     7.682135858518621E-8     7.60846368053199E-8      7.519616063181898E-8     6.894856693496184E-8     6.26391067168877E-8      3.709514776393357E-8     2.4970034885609106E-8    7.101457282190999E-9
-0.15                     9.347459280713101E-8     9.337356163090022E-8     9.324781536094976E-8     9.226510163712868E-8     9.108333830743785E-8     8.285501070464093E-8     7.468406155597953E-8     4.289116371414225E-8     2.8455208925690153E-8    7.910321314385831E-9
-0.14500000000000002      1.1347348434248996E-7    1.1333841289119963E-7    1.1317043809373813E-7    1.1186023853379737E-7    1.102894081312837E-7     9.946790462317216E-8     8.891389615032593E-8     4.948633031466063E-8     3.236553027686992E-8     8.804131367494859E-9
-0.13999999999999999      1.377306736291468E-7     1.3755017444834495E-7    1.3732587925777704E-7    1.35580025903942E-7      1.3349358427049734E-7    1.1928395447054426E-7    1.0568976218662493E-7    5.6973610251524884E-8    3.674558706591599E-8     9.791461786059242E-9
-0.13499999999999998      1.6714307298081717E-7    1.669019862050323E-7     1.6660262854167082E-7    1.6427772672839438E-7    1.6150874866338808E-7    1.428821511286845E-7     1.2542372802436699E-7    6.545469454190402E-8     4.1644149638650676E-8    1.0881759419212286E-8
-0.13                     2.0279190806672933E-7    2.0247007539973882E-7    2.0207075934163624E-7    1.9897699198271483E-7    1.9530568794634996E-7    1.7093484297792047E-7    1.4858392992716376E-7    7.504069850542196E-8     4.7114578308436843E-8    1.2085432904906254E-8
-0.12500000000000003      2.459784238938479E-7     2.455490784025894E-7     2.450167827779773E-7     2.409033115974568E-7     2.3604089880613226E-7    2.042195662420463E-7     1.756998081494973E-7     8.585292686602719E-8     5.321527508039997E-8     1.3413950956592013E-8
-0.12                     2.9826547605075404E-7    2.9769313615120317E-7    2.9698414089623676E-7    2.9152015939858803E-7    2.850881379487912E-7     2.436314580333724E-7     2.073673275344114E-7     9.80237160138165E-8      6.001018298384537E-8     1.4879950493035851E-8
-0.11499999999999999      3.615254700690109E-7     3.607631990790217E-7     3.5981974302554124E-7    3.5257002602211177E-7    3.4407372722670795E-7    2.901959893044705E-7     2.442540613072104E-7     1.1169736133581738E-7    6.756933677338051E-8     1.6497355583154026E-8
-0.11000000000000001      4.3799486567548473E-7    4.3698072827129913E-7    4.3572669690817324E-7    4.2612026742506503E-7    4.1491536019122173E-7    3.450816483057476E-7     2.871039946146267E-7     1.2703113718664682E-7    7.596946889508806E-8     1.82815082765446E-8
-0.10499999999999998      5.303350259284378E-7     5.289875420061327E-7     5.273229482503174E-7     5.146132677759049E-7     4.998637576799753E-7     4.096120783812577E-7     3.3674188114071386E-7    1.4419641650684377E-7    8.529467475559911E-8     2.024931249043083E-8
-0.1                      6.416984764813207E-7     6.39910845850736E-7      6.377048366385299E-7     6.209197618206401E-7     6.015459436552203E-7     4.852770268150757E-7     3.9407696180447577E-7    1.633798962996194E-7     9.563714147482672E-8     2.2419392234956623E-8
-0.095                    7.757985328738956E-7     7.734313891443862E-7     7.705134957982324E-7     7.483932067251685E-7     7.230081088139701E-7     5.737412950926595E-7     4.601058289438563E-7     1.8478493412964014E-7    1.0709794443780599E-7    2.4812265579756508E-8
-0.09                     9.369786105336304E-7     9.338510732851516E-7     9.300004408098872E-7     9.009217489014629E-7     8.67754946692741E-7      6.7685069832616E-7       5.359141922876579E-7     2.0863299948770813E-7    1.1978791607579272E-7    2.7450535894420423E-8
-0.08500000000000002      1.1302751866299911E-6    1.1261540391926567E-6    1.121086444873906E-6     1.0829725065562688E-6    1.039780939356874E-6     7.966338480288215E-7     6.226772740746415E-7     2.35165242234002E-7      1.3382859138533665E-7    3.0359102035998245E-8
-0.07999999999999999      1.361465164374332E-6     1.3560521223917254E-6    1.349404765385474E-6     1.2996205082063443E-6    1.2435873123585566E-6    9.352983763319632E-7     7.216585295438002E-7     2.6464417834279024E-7    1.4935323471611E-7       3.3565389307161104E-8
-0.07500000000000001      1.6370841666643029E-6    1.6300014645573033E-6    1.6213158277396679E-6    1.5565516645295244E-6    1.4841762910217033E-6    1.0952200333086379E-6    8.342063555039341E-7     2.9735549074631857E-7    1.6650795229876978E-7    3.709960317032677E-8
-0.06999999999999998      1.9643970445823293E-6    1.9551720094061937E-6    1.94387562790264E-6      1.8600256823822846E-6    1.7670119709958621E-6    1.278922929078424E-6     9.617484138844074E-7     3.336099401290612E-7     1.8545289481437406E-7    4.0995007875721056E-8
-0.065                    2.351295870395691E-6     2.339345837585385E-6     2.3247346259531214E-6    2.216781116533255E-6     2.0979347898843115E-6    1.4890490808776487E-6    1.1057831596585368E-6    3.7374537694255834E-7    2.0636355398628072E-7    4.528823234525719E-8
-0.06                     2.8060945979714755E-6    2.7907145025127346E-6    2.7719384508891292E-6    2.6338613489316463E-6    2.483014659065091E-6     1.7283153900409021E-6    1.2678681247127255E-6    4.181288415586567E-7     2.294321566641496E-7     5.001960584902917E-8
-0.05499999999999999      3.3371848484988826E-6    3.317541105056121E-6     3.2935976559958073E-6    3.1183381521652377E-6    2.92832692573691E-6      1.999456248825259E-6     1.4496044735467124E-6    4.6715873419322804E-7    2.5486915911499984E-7    5.523352621630587E-8
-0.05000000000000002      3.952516361499925E-6     3.9276521336910955E-6    3.897393278570847E-6     3.6769101113346312E-6    3.439636390857165E-6     2.3051502017356897E-6    1.6526173169695234E-6    5.212670298280167E-7     2.829048431747288E-7     6.097886353839328E-8
-0.044999999999999984     4.658872164930042E-6     4.627730542679935E-6     4.589891302622796E-6     4.315358547961179E-6     4.0219787541487004E-6    2.6479295041066452E-6    1.8785312518225144E-6    5.809215056258074E-7     3.137910144732515E-7     6.730940254336905E-8
-0.03999999999999998      5.460927059931591E-6     5.422399476071326E-6     5.375656327964835E-6     5.037856041580169E-6     4.679137342778351E-6     3.0300720774154195E-6    2.128940595633955E-6     6.466279390393731E-7     3.478028010412313E-7     7.428432705294272E-8
-0.034999999999999976     6.360113188314478E-6     6.313119769570397E-6     6.25618677119379E-6      5.8461443036004635E-6    5.413026864554009E-6     3.4534762981396696E-6    2.4053738147885267E-6    7.189322237129085E-7     3.8524054813582306E-7    8.196875016430244E-8
-0.02999999999999997      7.353370738955557E-6     7.296976152399513E-6     7.228742811960097E-6     6.738629946966474E-6     6.223015585098324E-6     3.919520306634087E-6     2.7092517152612134E-6    7.984223370934821E-7     4.2643180196936214E-7    9.043429403309521E-8
-0.025000000000000022     8.43193223638502E-6      8.365494043898682E-6     8.285201331441437E-6     7.709486903464757E-6     7.105241791231296E-6     4.428909096369312E-6     3.041839090275755E-6     8.857300781477832E-7     4.717333710521245E-7     9.975972336134083E-8
-0.020000000000000018     9.580362925787259E-6     9.503699362143421E-6     9.411138532469225E-6     8.747896972733565E-6     8.05200666082417E-6      4.98151452165437E-6      3.404189715146721E-6     9.81532475467233E-7      5.215334489157509E-7     1.1003163691056044E-7
