% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 13:55
% Dimension:          1
% Nodes:              121
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
-0.12                     6.549370406275868E-7     6.519516648129763E-7     6.485391826672461E-7     6.227120492214376E-7     5.94308887753767E-7      4.3886144016883795E-7    3.363848813786586E-7     1.2155996309691617E-7    6.833559657967236E-8     1.5294829611162178E-8
-0.11000000000000001      9.601139528269326E-7     9.550547629832682E-7     9.490595127621424E-7     9.045753051457699E-7     8.56006489532435E-7      6.067643224561168E-7     4.506789575538354E-7     1.53429998157361E-7      8.490333771124681E-8     1.8682083983894064E-8
-0.1                      1.4029777723192656E-6    1.394269605204992E-6     1.3838173864012234E-6    1.3074220677669878E-6    1.2253303394882768E-6    8.293929413776095E-7     5.982577515512244E-7     1.9262362218254325E-7    1.0512498409072393E-7    2.2798215604626073E-8
-0.09                     2.0407343955810724E-6    2.025761736038263E-6     2.0077322783350594E-6    1.8778177185309227E-6    1.741048058875467E-6     1.121913634928354E-6     7.868247506028333E-7     2.406632764460755E-7     1.29769107361458E-7      2.779925558556565E-8
-0.07999999999999999      2.9489572793175376E-6    2.923487879586754E-6     2.8928485899014197E-6    2.6752616446624427E-6    2.4514883767254396E-6    1.5016357289263834E-6    1.0252960676674975E-6    2.9937806684704E-7       1.597654625207882E-7     3.3874632070080256E-8
-0.06999999999999998      4.221716726442394E-6     4.179204694390877E-6     4.128210881635684E-6     3.771451307292779E-6     3.41359904203336E-6      1.986067696597117E-6     1.323856894731992E-6     3.7096423649850165E-7    1.9623811838186825E-7    4.125427280220937E-8
-0.06                     5.9648998632638434E-6    5.895910712500958E-6     5.813459821471067E-6     5.245073390390079E-6     4.688982569545665E-6     2.6003848537106955E-6    1.6939762346398891E-6    4.5805540826009643E-7    2.4054483215704135E-7    5.021719850635876E-8
-0.05000000000000002      8.276620612922816E-6     8.169000227065761E-6     8.040854790295106E-6     7.169133011682879E-6     6.335295946547219E-6     3.3621810347699057E-6    2.1483513387292305E-6    5.638031692630042E-7     2.94323627855503E-7      6.110191288792445E-8
-0.03999999999999998      1.120874238587585E-5     1.1049608587079513E-5    1.0860706499274754E-5    9.588300733970123E-6     8.391773905948838E-6     4.296355926816462E-6     2.7007395656994863E-6    6.919680883877192E-7     3.595475725904185E-7     7.431895123664025E-8
-0.02999999999999997      1.4692551203158792E-5    1.4473572817629225E-5    1.4214119864783577E-5    1.2473662728356123E-5    1.0849469081036369E-5    5.417393131883355E-6     3.365619339931931E-6     8.470204112329309E-7     4.3858870771577967E-7    9.036601674059436E-8
-0.020000000000000018     1.8567604689368883E-5    1.8289321351622765E-5    1.795970496277535E-5     1.5741978734193264E-5    1.3664793017840703E-5    6.739314879125382E-6     4.157605470928377E-6     1.0342482927330552E-6    5.342919351754237E-7     1.0984620947597433E-7
-0.009999999999999953     2.2454890741356768E-5    2.21362529896902E-5      2.1758023061486596E-5    1.917606611207193E-5     1.6705835236044973E-5    8.266495033600236E-6     5.090531166918411E-6     1.2598692757538695E-6    6.500593132198012E-7     1.3348993751988955E-7
0                         2.58696872847415E-5      2.554699193510274E-5     2.516217628836837E-5     2.2460538959499997E-5    1.9762892354073685E-5    9.98977276460243E-6      6.176106411865225E-6     1.5311375111127226E-6    7.899445785256297E-7     1.6218119117428036E-7
0.009999999999999953      2.8381877504172357E-5    2.8097111727525366E-5    2.7755371224541945E-5    2.525226028965816E-5     2.257950467525943E-5     1.188311794248126E-5     7.422080608309075E-6     1.856434586069328E-6     9.587566416110629E-7     1.9698895628258953E-7
0.020000000000000018      2.9767419777662922E-5    2.955205434806891E-5     2.9291909995646688E-5    2.727357746706005E-5     2.4903932532500945E-5    1.3900673704381855E-5    8.829891202488266E-6     2.2453253957606354E-6    1.1621691053190567E-6    2.392046344636508E-7
0.030000000000000027      3.0062758385298592E-5    2.9927958469715654E-5    2.9764454113698154E-5    2.8391654957335206E-5    2.6549367163850148E-5    1.597545861795012E-5     1.0391886230639578E-5    2.708551904072146E-6     1.4068302766290485E-6    2.9038641555561874E-7
0.03999999999999998       2.9497586060585413E-5    2.9436044134628756E-5    2.936174628159446E-5     2.864251344783923E-5     2.7438569676118924E-5    1.8021246097563466E-5    1.2088380319688476E-5    3.2579267332848763E-6    1.7004643597343819E-6    3.5241159251506175E-7
0.04999999999999993       2.8372183330732958E-5    2.8366890807723246E-5    2.8361797176646934E-5    2.819162800851513E-5     2.761292843011616E-5     1.993865362160904E-5     1.3885037610949303E-5    3.906075594307436E-6     2.051949159499247E-6     4.275377931555885E-7
0.06                      2.6958557566595082E-5    2.6991143852403364E-5    2.7032889278679386E-5    2.7260880016550706E-5    2.7204221861788204E-5    2.1625687465369198E-5    1.573133401815919E-5     4.665963838094939E-6     2.471348305271768E-6     5.184739835156057E-7
0.07                      2.5455981678814955E-5    2.5511210591470603E-5    2.558093545948588E-5     2.6062124997822144E-5    2.6385986763286193E-5    2.299160383902928E-5     1.7561044672037506E-5    5.550130686494281E-6     2.9698664325515933E-6    6.284618107583695E-7
0.07999999999999996       2.398873813026614E-5     2.4055669500840898E-5    2.413973282378639E-5     2.476011217721984E-5     2.5327473312293405E-5    2.3971309676335747E-5    1.92956827160525E-5      6.5695502760229785E-6    3.5596839297819296E-6    7.61367307345306E-7
