% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 14:01
% Dimension:          1
% Nodes:              121
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
-0.3                      3.440946035255288E-9     3.3365354015214204E-9    3.189568319840586E-9     2.1921255588552817E-9    1.5316311616661198E-9    4.398701207961855E-10    2.3215929987648398E-10   4.857279291832844E-11    2.4426103681075665E-11   4.904430761282999E-12
-0.29                     7.105379782151612E-10    7.175759679192595E-10    7.209927803029038E-10    6.540798164661931E-10    6.79941895715965E-10     6.822876994433566E-10    7.430403992005775E-10    6.176556292209698E-10    6.104012109982269E-10    3.317448811483984E-10
-0.27999999999999997      8.736858483891548E-10    8.739163124800067E-10    8.73874407183307E-10     8.849031638619575E-10    8.828565498076772E-10    8.678404147766349E-10    8.608004614529562E-10    7.809320325289611E-10    7.091323353087413E-10    3.921813054384632E-10
-0.27                     1.1820815172348242E-9    1.1811514640610173E-9    1.1805850339926812E-9    1.1765574635513657E-9    1.1730799231730066E-9    1.1622819572826772E-9    1.1355340682005267E-9    1.027084517817201E-9     9.047790053480628E-10    4.86002136732855E-10
-0.26                     1.7070344762237488E-9    1.7067880164681172E-9    1.706453818363981E-9     1.6821648517385653E-9    1.6787895393127202E-9    1.6551142496837275E-9    1.6229897212068232E-9    1.4254595966296119E-9    1.2383056632240708E-9    6.218115477752118E-10
-0.25                     2.472243422287957E-9     2.471823249692011E-9     2.471249611721838E-9     2.481138186805078E-9     2.4753777763911055E-9    2.4299979698212247E-9    2.352189364682213E-9     2.0097707584289506E-9    1.7094361185101972E-9    8.000744711685689E-10
-0.24                     3.769939037695477E-9     3.7690132716993155E-9    3.741200230782598E-9     3.745169938592151E-9     3.733621511650231E-9     3.6449329648359536E-9    3.5643057145819575E-9    2.9198164669501956E-9    2.402510983368565E-9     1.0341377614294924E-9
-0.22999999999999998      5.626673969867944E-9     5.624969670985288E-9     5.633033467382064E-9     5.6119022199246744E-9    5.59054706927855E-9      5.4271681406212684E-9    5.260535279828639E-9     4.1536948826782795E-9    3.3193468590573406E-9    1.32611345847002E-9
-0.21999999999999997      8.331872900366789E-9     8.328782981204838E-9     8.32787042411485E-9      8.29693383100965E-9      8.258851764623661E-9     7.970184486276978E-9     7.67350560766977E-9      5.825933976007451E-9     4.519226563652044E-9     1.6877557101982194E-9
-0.21                     1.2310835225292039E-8    1.2305266057352442E-8    1.2298148246091891E-8    1.2243871849851046E-8    1.2175803184119425E-8    1.16654087366981E-8      1.1111580564253963E-8    8.087495045491592E-9     6.098600369235032E-9     2.1365461294589217E-9
-0.2                      1.817532418076149E-8     1.8165318925901607E-8    1.8153137290243027E-8    1.8054772189395398E-8    1.7933309153411645E-8    1.703334392689837E-8     1.6056850695387098E-8    1.1142844896089958E-8    8.171092594994817E-9     2.691134480878047E-9
-0.19                     2.6823601456716662E-8    2.6805654243675954E-8    2.6783521727744556E-8    2.660707130970361E-8     2.6390700215998125E-8    2.4809236579852938E-8    2.3123754984448386E-8    1.5230447304260622E-8    1.0832098312371928E-8    3.373174756306459E-9
-0.18                     3.957777596082199E-8     3.954561208252498E-8     3.950565953569811E-8     3.9190018128891145E-8    3.8805166522583094E-8    3.603635431096324E-8     3.315756555090837E-8     2.0643511035801924E-8    1.4241353651554371E-8    4.20962640405112E-9
-0.16999999999999998      5.8383860284141984E-8    5.832625871792081E-8     5.825461765375669E-8     5.769096682087235E-8     5.7007623884919704E-8    5.218080865686387E-8     4.7311696395522176E-8    2.7741848539561806E-8    1.857664197081464E-8     5.2334309900904E-9
-0.16                     8.610389940772728E-8     8.600081540777661E-8     8.587260928236259E-8     8.486775263006641E-8     8.365688798586183E-8     7.528482613129482E-8     6.713351785598657E-8     3.696188561651435E-8     2.4047326567066292E-8    6.488288101630161E-9
-0.15                     1.2694087139716473E-7    1.2675655311978176E-7    1.2652745555086088E-7    1.247391894871071E-7     1.225989067159693E-7     1.0816368730406699E-7    9.466993421113707E-8     4.882917367472041E-8     3.0904865355870726E-8    8.01567988609133E-9
-0.13999999999999999      1.8884610781263916E-7    1.8850552806035823E-7    1.8808267301075495E-7    1.8313916694223546E-7    1.793677318056044E-7     1.5465130100515783E-7    1.325883378076841E-7     6.397355825474507E-8     3.9450794391504115E-8    9.876505572597415E-9
-0.13                     2.7850994569850787E-7    2.7790194701028175E-7    2.7714805127102374E-7    2.7088415948894125E-7    2.618722972511275E-7     2.198959769140806E-7     1.843094986777143E-7     8.314766199129111E-8     5.004708605718847E-8     1.2142476174963837E-8
-0.12                     4.0990454504305294E-7    4.088227567284816E-7     4.0748347940834914E-7    3.9694570858521476E-7    3.843807971618649E-7     3.107008045826808E-7     2.5414760074769267E-7    1.0724961808929357E-7    6.312904486965993E-8     1.4899876638737566E-8
-0.11000000000000001      6.021252589714407E-7     6.002081414986068E-7     5.978391171134245E-7     5.796158071541899E-7     5.585366353137027E-7     4.3768198468387903E-7    3.4745051689041657E-7    1.3735100708703295E-7    7.92209816528675E-8      1.825357939449543E-8
-0.1                      8.823185931809746E-7     8.789392265707621E-7     8.747723348163981E-7     8.431674825075411E-7     8.072941232927418E-7     6.096806088974064E-7     4.707316130173248E-7     1.747309546674868E-7     9.895518174703826E-8     2.2330951941278684E-8
-0.09                     1.2884787019534996E-6    1.2825666721739103E-6    1.275295150101703E-6     1.2207923749005865E-6    1.1600128786588045E-6    8.410820279222429E-7     6.317825462795454E-7     2.2091732350882804E-7    1.230947291054744E-7     2.728663726468063E-8
-0.07999999999999999      1.8724262317005956E-6    1.8621948469286866E-6    1.8496464043313646E-6    1.7566788753816622E-6    1.6549147264021074E-6    1.1487766799660418E-6    8.397541413116099E-7     2.777358660646014E-7     1.5256082124046707E-7    3.330836967121145E-8
-0.06999999999999998      2.702035584956912E-6     2.684601118980395E-6     2.6632854610288373E-6    2.5072495625478977E-6    2.339799800315549E-6     1.5523548850925465E-6    1.1051886849186632E-6    3.4736808266751855E-7    1.884652946397699E-7     4.062400370295776E-8
-0.06                     3.860610796451143E-6     3.8315476401236445E-6    3.7961338737985775E-6    3.5400677550356125E-6    3.270854645264959E-6     2.071278231866828E-6     1.439980905367881E-6     4.3241831129107807E-7    2.321491526892038E-7     4.9510012158141106E-8
-0.05000000000000002      5.439582191201006E-6     5.392602774012222E-6     5.335553114282966E-6     4.9279702425259155E-6    4.5079704076514875E-6    2.734402133645554E-6     1.8572357030451886E-6    5.359901945235623E-7     2.8522793331455954E-7    6.030175249187277E-8
-0.03999999999999998      7.5190774507558734E-6    7.446287109277652E-6     7.358175657486408E-6     6.735306360708971E-6     6.104678893163619E-6     3.5592596635812953E-6    2.3709782051774605E-6    6.617720252946779E-7     3.4964474656179265E-7    7.340585443908919E-8
-0.02999999999999997      1.0131756758476726E-5    1.0025208880975154E-5    9.896565745352673E-6     8.99395429587832E-6      8.078833101453385E-6     4.568518955542402E-6     2.995656947531917E-6     8.141294246382945E-7     4.2773171536689116E-7    8.93151452508952E-8
-0.020000000000000018     1.3200795786337743E-5    1.305600599962076E-5     1.2881470884448047E-5    1.166021430295776E-5     1.0445487765935541E-5    5.77758512038197E-6      3.7453668418456066E-6    9.982021633147936E-7     5.222803107334892E-7     1.0862659981537392E-7
-0.009999999999999953     1.655814984511448E-5     1.6377338675418723E-5    1.6159442324294084E-5    1.4629375564241437E-5    1.3099646145997853E-5    7.19081496034735E-6      4.632710679809947E-6     1.219999461362379E-6     6.36620606135484E-7      1.3206288033607337E-7
0                         1.9856610652524644E-5    1.9654033308474148E-5    1.9409494532861906E-5    1.7669772781973846E-5    1.5890987206145104E-5    8.797784769839162E-6     5.667225407458114E-6     1.4864844886711533E-6    7.747086733139549E-7     1.6049811171565572E-7
0.009999999999999953      2.267833152086351E-5     2.2478334310661047E-5    2.2236045713279907E-5    2.0470854023058597E-5    1.8591332825999283E-5    1.056916999033699E-5     6.853335356793873E-6     1.8056337109633736E-6    9.41220048879174E-7      1.9498861946175206E-7
0.020000000000000018      2.4678431250601283E-5    2.450702092690849E-5     2.4298351918256485E-5    2.2724543683565797E-5    2.0943593647573163E-5    1.2453635219288481E-5    8.187874951844478E-6     2.1864498556784933E-6    1.141645213466299E-6     2.3680942839457394E-7
0.030000000000000027      2.5704206447416762E-5    2.5579055192324256E-5    2.54259290420261E-5      2.4216773169735504E-5    2.2727706388130492E-5    1.4377473220083212E-5    9.65736257248775E-6      2.6388984060889454E-6    1.3823800817763457E-6    2.874973689502277E-7
0.03999999999999998       2.582166703894556E-5     2.5747301651885043E-5    2.565598242868926E-5     2.488739317199045E-5     2.3818445960039697E-5    1.6248348010451465E-5    1.1235408775645562E-5    3.1737267857071135E-6    1.6708002911324813E-6    3.489016418142927E-7
0.04999999999999993       2.5244489531772683E-5    2.521465450685251E-5     2.5178082351454247E-5    2.482660205592581E-5     2.4211995163152594E-5    1.7963950916203056E-5    1.2880882862380027E-5    3.802113551801931E-6     2.0153022638677525E-6    4.232426179484377E-7
0.06                      2.4229297275837892E-5    2.423274281450533E-5     2.4237365544166756E-5    2.4217832875575794E-5    2.4009521764363387E-5    1.942512267590383E-5     1.4537673605124413E-5    4.535083957515875E-6     2.4252863182228277E-6    5.131794505489309E-7
0.07                      2.299912091739755E-5     2.302446387199858E-5     2.305628009688182E-5     2.326639651209342E-5     2.3370769324372184E-5    2.0551216864095973E-5    1.613693943055899E-5     5.3826220653345634E-6    2.9110474178523397E-6    6.218866763866889E-7
0.07999999999999996       2.171297591209567E-5     2.1751070739772427E-5    2.1798718108137716E-5    2.2148266267719857E-5    2.2463427773714466E-5    2.129388122893477E-5     1.760249202416353E-5     6.352414816906082E-6     3.4835278353008314E-6    7.531392842920499E-7
