% Model:              CV cnn.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2024, 17:34
% Dimension:          1
% Nodes:              281
% Expressions:        1
% Description:        Global
% R                       Value
0.13999999999999996       1.4608020707516305E-5
0.14499999999999996       1.4301527340931147E-5
0.14999999999999997       1.4013864818635901E-5
0.15499999999999997       1.3741987825327217E-5
0.15999999999999998       1.3485599183660359E-5
0.16499999999999998       1.3239045852251656E-5
0.16999999999999998       1.3004680349918785E-5
0.175                     1.2782502676661762E-5
0.18                      1.2572230535202032E-5
0.185                     1.2372435547108414E-5
0.19                      1.218409870993708E-5
0.195                     1.2007220023688034E-5
0.1999999999999999        1.1841237420470139E-5
0.2049999999999999        1.1678379935262046E-5
0.21000000000000002       1.1523598567568874E-5
0.21500000000000002       1.1376893317390732E-5
0.21999999999999992       1.1238264184727556E-5
0.22499999999999992       1.1102022741456196E-5
0.22999999999999993       1.097146667418931E-5
0.23499999999999993       1.0846697297352284E-5
0.23999999999999994       1.0727714610945155E-5
0.24499999999999994       1.0611391393642635E-5
0.24999999999999994       1.0499072341750714E-5
0.25499999999999995       1.0391107608849553E-5
0.26000000000000006       1.028749719493902E-5
0.26500000000000007       1.018526543377989E-5
0.26999999999999996       1.008513209140746E-5
0.27499999999999997       9.987780376387914E-6
0.27999999999999997       9.89321028872138E-6
0.27499999999999997       9.801421828407792E-6
0.26999999999999996       9.712414995447152E-6
0.26500000000000007       9.62618978983945E-6
0.26000000000000006       9.54274621158469E-6
0.25500000000000006       9.460566006136207E-6
0.24999999999999994       9.379563697633132E-6
0.24499999999999994       9.300739699994732E-6
0.23999999999999994       9.224094013220911E-6
0.23499999999999993       9.149626637311776E-6
0.23000000000000004       9.07733757226728E-6
0.22500000000000003       9.00722681808741E-6
0.22000000000000003       8.939294374772156E-6
0.21500000000000002       8.871715659468639E-6
0.21000000000000002       8.802436943602758E-6
0.20500000000000013       8.73418960701489E-6
0.1999999999999999        8.666973649705016E-6
0.195                     8.600789071673167E-6
0.19                      8.535635872919285E-6
0.185                     8.471514053443473E-6
0.18                      8.40842361324566E-6
0.17499999999999988       8.344485215885735E-6
0.1700000000000001        8.270762590694565E-6
0.16499999999999987       8.195409878536041E-6
0.15999999999999998       8.118427079410122E-6
0.15499999999999997       8.039814193316856E-6
0.14999999999999997       7.959571220256247E-6
0.14499999999999996       7.877698160228276E-6
0.13999999999999996       7.794195013232881E-6
0.13499999999999984       7.709061779270212E-6
0.13000000000000006       7.582148750007188E-6
0.12499999999999994       7.44329500155103E-6
0.12000000000000005       7.2937478012808145E-6
0.11499999999999994       7.133507149196477E-6
0.10999999999999993       6.94849138002463E-6
0.10499999999999993       6.716730982625218E-6
0.10000000000000003       6.458422298648997E-6
0.09500000000000003       6.173565328095994E-6
0.09000000000000002       5.862160070966213E-6
0.08499999999999991       5.453884207650047E-6
0.08000000000000013       4.964851026214828E-6
0.07499999999999996       4.4142234699474186E-6
0.07000000000000012       3.764848262815315E-6
0.06499999999999995       3.0332360632288125E-6
0.06                      2.209383775580307E-6
0.05499999999999999       1.2461377944668461E-6
0.050000000000000044      1.686922218230866E-7
0.04500000000000004       -1.029517872860326E-6
0.040000000000000036      -2.349240999807512E-6
0.03499999999999992       -3.7798380408174488E-6
0.030000000000000082      -5.284443885514973E-6
0.024999999999999967      -6.88124538763348E-6
0.019999999999999796      -8.474369250206617E-6
0.015000000000000013      -1.0058141368884432E-5
0.009999999999999842      -1.1614305333617875E-5
0.00500000000000006       -1.2994824352510742E-5
-1.1102230246251565E-16   -1.427388917361007E-5
-0.00500000000000006      -1.5329549682566183E-5
-0.010000000000000064     -1.6160919401619257E-5
-0.015000000000000069     -1.6779042737877812E-5
-0.01999999999999985      -1.7137267627989772E-5
-0.025000000000000022     -1.7263129328063545E-5
-0.030000000000000138     -1.7222767329654703E-5
-0.034999999999999976     -1.6996338195365658E-5
-0.04000000000000009      -1.667355054051816E-5
-0.04499999999999993      -1.622906120095474E-5
-0.0500000000000001       -1.5736770518389743E-5
-0.05500000000000005      -1.5176351158117368E-5
-0.06000000000000005      -1.460802616033775E-5
-0.065                    -1.4014715550305865E-5
-0.07                     -1.3436300704091142E-5
-0.07500000000000001      -1.2861183369192844E-5
-0.08000000000000013      -1.2311462618108991E-5
-0.08499999999999996      -1.1780499704429466E-5
-0.09000000000000008      -1.1278278644427498E-5
-0.09499999999999992      -1.0801547898657756E-5
-0.10000000000000003      -1.0353042009909434E-5
-0.10500000000000004      -9.931530128909534E-6
-0.11000000000000004      -9.535889165076499E-6
-0.11499999999999999      -9.16596233693084E-6
-0.12                     -8.818879673912742E-6
-0.12499999999999994      -8.494975160994687E-6
-0.13000000000000012      -8.190824663761474E-6
-0.13499999999999995      -7.90692878565628E-6
-0.14000000000000007      -7.639922101888141E-6
-0.1449999999999999       -7.390309340098656E-6
-0.15000000000000002      -7.15505985702808E-6
-0.15500000000000003      -6.93461192782463E-6
-0.15999999999999998      -6.7263627207188624E-6
-0.16499999999999998      -6.530661965013675E-6
-0.16999999999999993      -6.345335387372634E-6
-0.17499999999999993      -6.170166391197687E-6
-0.18000000000000008      -6.001999606859414E-6
-0.18499999999999991      -5.84214050354137E-6
-0.19000000000000003      -5.690589081243585E-6
-0.19499999999999987      -5.546692457642598E-6
-0.2                      -5.4093547408659895E-6
-0.20500000000000013      -5.279479225805849E-6
-0.20999999999999996      -5.1570659124621015E-6
-0.2150000000000001       -5.040452694461007E-6
-0.21999999999999992      -4.927346976443561E-6
-0.22500000000000006      -4.819748942153508E-6
-0.23000000000000004      -4.717658591590869E-6
-0.23500000000000004      -4.619787653827063E-6
-0.24000000000000002      -4.524684502612596E-6
-0.245                    -4.433703321345392E-6
-0.24999999999999997      -4.346844110025431E-6
-0.2550000000000001       -4.263167818634012E-6
-0.25999999999999995      -4.181819171841348E-6
-0.26500000000000007      -4.103662806105728E-6
-0.2699999999999999       -4.0286987214271324E-6
-0.275                    -3.956208908623302E-6
-0.28                     -3.885673619176764E-6
-0.28500000000000003      -3.817672827021453E-6
-0.29                     -3.752206532157344E-6
-0.29499999999999993      -3.6884153508523215E-6
-0.29999999999999993      -3.6258175741591872E-6
-0.3050000000000001       -3.5650223732065984E-6
-0.30999999999999994      -3.5060297479945573E-6
-0.31500000000000006      -3.4488396985230544E-6
-0.3199999999999999       -3.3934522247921068E-6
-0.325                    -3.3398673268017025E-6
-0.33                     -3.288085004551837E-6
-0.33499999999999996      -3.2372725797571704E-6
-0.33999999999999997      -3.1874190999175676E-6
-0.345                    -3.1390366600047476E-6
-0.3499999999999999       -3.092125260018741E-6
-0.3550000000000001       -3.0466848999595163E-6
-0.3599999999999999       -3.0027155798271018E-6
-0.36500000000000005      -2.960217299621471E-6
-0.3699999999999999       -2.919190059342636E-6
-0.375                    -2.8785165323063205E-6
-0.3800000000000001       -2.838398892500366E-6
-0.38499999999999995      -2.7993555203410763E-6
-0.39000000000000007      -2.761386415828467E-6
-0.3949999999999999       -2.7244915789625078E-6
-0.4000000000000001       -2.6886710097432316E-6
-0.405                    -2.6539247081706233E-6
-0.41000000000000003      -2.620252674244676E-6
-0.415                    -2.586785675065813E-6
-0.42                     -2.553818822613862E-6
