% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 7 2022, 20:59
% Dimension:          1
% Nodes:              121
% Expressions:        1
% Description:        Global
% -E_time (V)             Value
-0.3                      3.1695403675820675E-8
-0.29                     8.42207532187318E-9
-0.27999999999999997      1.0392174196104577E-8
-0.27                     1.4059122467791593E-8
-0.26                     2.0297551318673055E-8
-0.25                     2.939451000062354E-8
-0.24                     4.4812332591468626E-8
-0.22999999999999998      6.68853534906514E-8
-0.21999999999999997      9.903983328824732E-8
-0.21                     1.4632930909907405E-7
-0.2                      2.1602126116756685E-7
-0.19                     3.1878196269381726E-7
-0.18                     4.7030469074025734E-7
-0.16999999999999998      6.936759112052088E-7
-0.16                     1.0228232008153944E-6
-0.15                     1.5219498355933724E-6
-0.13999999999999999      2.245381610982275E-6
-0.13                     3.3064844471616076E-6
-0.12                     4.860945961806903E-6
-0.11000000000000001      7.1314727209981466E-6
-0.1                      1.0432686984329156E-5
-0.09                     1.5199852957563153E-5
-0.07999999999999999      2.20158345812027E-5
-0.06999999999999998      3.162206312028784E-5
-0.06                     4.48848976479269E-5
-0.05000000000000002      6.267078019798897E-5
-0.03999999999999998      8.557567528824083E-5
-0.02999999999999997      1.1349060097462372E-4
-0.020000000000000018     1.4509585938076689E-4
-0.009999999999999953     1.7788784356286504E-4
0                         2.0798776366197597E-4
0.009999999999999953      2.3149692521148675E-4
0.020000000000000018      2.4592922515170564E-4
0.030000000000000027      2.509544290317238E-4
0.03999999999999998       2.481073695115639E-4
0.04999999999999993       2.3982226726361274E-4
0.06                      2.2849953429970713E-4
0.07                      2.1599901571674803E-4
0.07999999999999996       2.035363517076071E-4
0.09000000000000002       1.9179241939991146E-4
0.09999999999999998       1.8107845602589819E-4
0.10999999999999999       1.7148026603571595E-4
0.12                      1.6296075948428877E-4
0.12999999999999995       1.5542475470020967E-4
0.14                      1.4875654393760497E-4
0.14999999999999997       1.4283994334411915E-4
0.16000000000000003       1.3756788979730832E-4
0.16999999999999998       1.3284616455793186E-4
0.18                      1.2859401925945766E-4
0.19                      1.247433059576857E-4
0.19999999999999996       1.2123699575217507E-4
0.21000000000000002       1.1802755022782863E-4
0.22000000000000003       1.1507537187913089E-4
0.23000000000000004       1.1234742930771981E-4
0.24000000000000005       1.0981608457895569E-4
0.24999999999999994       1.0746022729962219E-4
0.25999999999999995       1.0525915328749163E-4
0.26999999999999996       1.0319445724013943E-4
0.2800000000000001        1.0125146931114622E-4
0.29                      9.941862079538719E-5
0.3                       9.768576651954888E-5
0.29                      9.603781284009439E-5
0.2800000000000001        9.447296079638082E-5
0.26999999999999996       9.298574199281687E-5
0.25999999999999995       9.156608290858292E-5
0.25000000000000006       9.020654685986335E-5
0.23999999999999994       8.890179963242483E-5
0.22999999999999993       8.764547973137769E-5
0.22000000000000003       8.642993694761954E-5
0.21000000000000002       8.524662708727897E-5
0.20000000000000012       8.408523533573935E-5
0.19                      8.293220589771356E-5
0.18                      8.176911627330257E-5
0.16999999999999993       8.05703814835086E-5
0.15999999999999998       7.92961325631941E-5
0.14999999999999997       7.790464240690402E-5
0.14                      7.631295961584506E-5
0.13000000000000006       7.441395253457062E-5
0.12                      7.205290550296088E-5
0.10999999999999999       6.900748762496703E-5
0.10000000000000003       6.496393891512288E-5
0.09000000000000008       5.9488170901815774E-5
0.07999999999999996       5.199816045488827E-5
0.07                      4.175155944499446E-5
0.06000000000000005       2.787660824305604E-5
0.0500000000000001        9.492807153423507E-6
0.04000000000000015       -1.4022840417650821E-5
0.029999999999999916      -4.26012565160247E-5
0.019999999999999907      -7.497644471755686E-5
0.009999999999999953      -1.0841297141756916E-4
0                         -1.3906201440767318E-4
-0.009999999999999953     -1.6308351262449294E-4
-0.020000000000000073     -1.7802587423760356E-4
-0.030000000000000027     -1.8357942941979124E-4
-0.03999999999999998      -1.812794990487226E-4
-0.04999999999999993      -1.735486258267953E-4
-0.06000000000000005      -1.627745784340638E-4
-0.07                     -1.508089403188272E-4
-0.07999999999999999      -1.3886378887643897E-4
-0.08999999999999994      -1.2761953847018447E-4
-0.0999999999999999       -1.173884707944801E-4
-0.11000000000000013      -1.0825793282258316E-4
-0.1200000000000001       -1.0019237419982136E-4
-0.13000000000000006      -9.309795548124318E-5
-0.14000000000000004      -8.686007776478123E-5
-0.15                     -8.136346099237577E-5
-0.1600000000000001       -7.650178077154891E-5
-0.17000000000000007      -7.21814269263302E-5
-0.18000000000000002      -6.832216006428603E-5
-0.19                     -6.485626770474484E-5
-0.19999999999999996      -6.172710105737949E-5
-0.21000000000000005      -5.8887456562371216E-5
-0.22000000000000003      -5.62980328091874E-5
-0.22999999999999998      -5.392606272879882E-5
-0.23999999999999994      -5.174414871435417E-5
-0.2499999999999999       -4.9729292299687775E-5
-0.2600000000000001       -4.7862096124422383E-5
-0.2700000000000001       -4.612611316127008E-5
-0.2800000000000001       -4.450731940992343E-5
-0.29000000000000004      -4.2993688404710955E-5
-0.3                      -4.1575791009098724E-5
