% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 7 2022, 19:55
% Dimension:          1
% Nodes:              241
% Expressions:        1
% Description:        Global
% -E_time (V)             Value
-0.3                      3.223246173546228E-8
-0.295                    6.043908071146373E-9
-0.29                     6.101924624477814E-9
-0.285                    6.54552483921129E-9
-0.27999999999999997      7.520259613477585E-9
-0.27499999999999997      8.858035863335265E-9
-0.27                     1.0757385364457006E-8
-0.265                    1.3000431614781563E-8
-0.26                     1.5670969678030457E-8
-0.255                    1.8954134178948603E-8
-0.25                     2.296788950745086E-8
-0.245                    2.7840658293499276E-8
-0.24                     3.3762833988307566E-8
-0.235                    4.099039966358087E-8
-0.22999999999999998      4.97018170337222E-8
-0.22499999999999998      6.031604700198805E-8
-0.21999999999999997      7.322514851960715E-8
-0.215                    8.890990301504819E-8
-0.21                     1.0796549795376744E-7
-0.20500000000000002      1.3111409718233324E-7
-0.2                      1.592323468855283E-7
-0.195                    1.933846915120546E-7
-0.19                     2.3486312273277402E-7
-0.185                    2.8523543502781533E-7
-0.18                     3.464036224572737E-7
-0.175                    4.2067442621513185E-7
-0.16999999999999998      5.108444666588549E-7
-0.16499999999999998      6.203028229454097E-7
-0.16                     7.531544127680581E-7
-0.15499999999999997      9.143680631270837E-7
-0.15                     1.1099537322541978E-6
-0.14500000000000002      1.3471739125407382E-6
-0.13999999999999999      1.634794760915156E-6
-0.13499999999999998      1.9833828785697447E-6
-0.13                     2.4056537581863298E-6
-0.12500000000000003      2.916877523964262E-6
-0.12                     3.535346397300123E-6
-0.11499999999999999      4.282905881199829E-6
-0.11000000000000001      5.185547340902328E-6
-0.10499999999999998      6.274052610690839E-6
-0.1                      7.584670354129203E-6
-0.095                    9.159787744767728E-6
-0.09                     1.1048537991047548E-5
-0.08500000000000002      1.330725264221516E-5
-0.07999999999999999      1.5999626210120512E-5
-0.07500000000000001      1.919640934329724E-5
-0.06999999999999998      2.2974388045936103E-5
-0.065                    2.7414347243140006E-5
-0.06                     3.259767153605929E-5
-0.05499999999999999      3.860122840071605E-5
-0.05000000000000002      4.549024503851579E-5
-0.044999999999999984     5.330907466873815E-5
-0.03999999999999998      6.207009612073609E-5
-0.034999999999999976     7.17415256965475E-5
-0.02999999999999997      8.223561129388063E-5
-0.025000000000000022     9.339940165929737E-5
-0.020000000000000018     1.0501079980004501E-4
-0.015000000000000013     1.1678259486335671E-4
-0.009999999999999953     1.2837632108174608E-4
-0.0050000000000000044    1.3942602168331522E-4
0                         1.4956958820952655E-4
0.0050000000000000044     1.5848300570294482E-4
0.009999999999999953      1.65911465638874E-4
0.015000000000000013      1.7169159032620463E-4
0.020000000000000018      1.757609976712217E-4
0.024999999999999967      1.7815445404340243E-4
0.030000000000000027      1.789888352929201E-4
0.03500000000000003       1.7844108276762833E-4
0.03999999999999998       1.7672387671422208E-4
0.044999999999999984      1.740630336867568E-4
0.04999999999999993       1.7067922028984455E-4
0.05499999999999999       1.6677506003195922E-4
0.06                      1.6252750473430796E-4
0.06500000000000006       1.5808460794739594E-4
0.07                      1.5356554294935376E-4
0.07500000000000001       1.4906272477063954E-4
0.07999999999999996       1.4464508298995814E-4
0.08499999999999996       1.4036177848693763E-4
0.09000000000000002       1.362458937079924E-4
0.09499999999999997       1.3231781934515467E-4
0.09999999999999998       1.2858820199765082E-4
0.10499999999999998       1.250604119178238E-4
0.10999999999999999       1.2173254716169886E-4
0.11499999999999999       1.1859902088610627E-4
0.12                      1.1565179120811103E-4
0.12499999999999994       1.12881294872314E-4
0.12999999999999995       1.1027714180622689E-4
0.13500000000000006       1.0782862065903552E-4
0.14                      1.0552505755771392E-4
0.14500000000000002       1.0335700703755655E-4
0.14999999999999997       1.0131637240976399E-4
0.15499999999999997       9.938696043194853E-5
0.16000000000000003       9.75650228254626E-5
0.16499999999999998       9.584303519225598E-5
0.16999999999999998       9.421041424912847E-5
0.175                     9.266018743531642E-5
0.18                      9.118735916046956E-5
0.185                     8.978623679755693E-5
0.19                      8.845109077102748E-5
0.19499999999999995       8.717705892417746E-5
0.19999999999999996       8.595986300977688E-5
0.20500000000000002       8.479546611341287E-5
0.21000000000000002       8.368013072072066E-5
0.21500000000000002       8.261048880945499E-5
0.22000000000000003       8.158348131779013E-5
0.22500000000000003       8.059629861215861E-5
0.23000000000000004       7.964636623031471E-5
0.23500000000000004       7.873133236309819E-5
0.24000000000000005       7.784904352018139E-5
0.24499999999999994       7.699752250164348E-5
0.24999999999999994       7.617495260126784E-5
0.25500000000000006       7.537966328415999E-5
0.25999999999999995       7.461011598841777E-5
0.26499999999999996       7.386489140030964E-5
0.26999999999999996       7.314267842801978E-5
0.27499999999999997       7.24422642748078E-5
0.2800000000000001        7.176252539419513E-5
0.2850000000000001        7.110241937475611E-5
0.29                      7.046097768926109E-5
0.295                     6.983729917376534E-5
0.3                       6.923054415045588E-5
0.295                     6.863702308757856E-5
0.29                      6.805937052391302E-5
0.2850000000000001        6.749794198425126E-5
0.2800000000000001        6.695042110972223E-5
0.2750000000000001        6.641566467176396E-5
0.26999999999999996       6.589358791004056E-5
0.26499999999999996       6.538371752814032E-5
0.25999999999999995       6.488525552746021E-5
0.25500000000000006       6.439756832395138E-5
0.25000000000000006       6.392014496555215E-5
0.24499999999999994       6.345242293224298E-5
0.23999999999999994       6.299379375035463E-5
0.23499999999999993       6.254364834132083E-5
0.22999999999999993       6.210136134212894E-5
0.22500000000000003       6.166626160281449E-5
0.22000000000000003       6.123762019387527E-5
0.21500000000000002       6.081463947225688E-5
0.21000000000000002       6.039643267397125E-5
0.20500000000000002       5.998199861226096E-5
0.20000000000000012       5.957019371976264E-5
0.19499999999999995       5.9159698688334016E-5
0.19                      5.8748977547644036E-5
0.185                     5.8336228299893725E-5
0.18                      5.7919323669910026E-5
0.17500000000000004       5.749573972691819E-5
0.16999999999999993       5.706246984840415E-5
0.16499999999999992       5.661592120704992E-5
0.15999999999999998       5.6151790438038724E-5
0.15499999999999997       5.5664914560238875E-5
0.14999999999999997       5.514909266680323E-5
0.14500000000000002       5.459687334611951E-5
0.14                      5.39993022765953E-5
0.13500000000000006       5.334562406493037E-5
0.13000000000000006       5.26229323133181E-5
0.1250000000000001        5.1815762313398486E-5
0.12                      5.090377277409791E-5
0.11499999999999999       4.9872417114076826E-5
0.10999999999999999       4.868824210335302E-5
0.10500000000000004       4.732125336705022E-5
0.10000000000000003       4.573576720573322E-5
0.09499999999999992       4.388917751775894E-5
0.09000000000000008       4.1732177804006015E-5
0.08499999999999996       3.920828673646287E-5
0.07999999999999996       3.625366332765554E-5
0.07500000000000001       3.2797441980829144E-5
0.07                      2.8762777629172965E-5
0.06500000000000006       2.406891027199053E-5
0.06000000000000005       1.8634598568854755E-5
0.05499999999999994       1.2383274239835683E-5
0.0500000000000001        5.250200720626523E-6
0.044999999999999984      -2.8082685218383935E-6
0.04000000000000015       -1.1803586885818145E-5
0.03500000000000003       -2.1702844027695313E-5
0.029999999999999916      -3.241701833570404E-5
0.025000000000000022      -4.379256841474756E-5
0.019999999999999907      -5.56068792751942E-5
0.015000000000000069      -6.757228565943944E-5
0.009999999999999953      -7.935039053183607E-5
0.0050000000000000044     -9.057700342955792E-5
0                         -1.0089256705000117E-4
-0.0050000000000000044    -1.0997547336283919E-4
-0.009999999999999953     -1.1757313035087519E-4
-0.014999999999999958     -1.2352423084539265E-4
-0.020000000000000073     -1.2776803084756403E-4
-0.02499999999999991      -1.3034019250521977E-4
-0.030000000000000027     -1.3135768577895E-4
-0.034999999999999865     -1.3099688929086917E-4
-0.03999999999999998      -1.294694905685466E-4
-0.045000000000000095     -1.2700012082276707E-4
-0.04999999999999993      -1.238082628207433E-4
-0.05500000000000008      -1.200954831915647E-4
-0.06000000000000005      -1.1603787211972317E-4
-0.06500000000000003      -1.117828423790093E-4
-0.07                     -1.0744913562323535E-4
-0.07500000000000001      -1.0312890807380993E-4
-0.07999999999999999      -9.88909624576849E-5
-0.0850000000000001       -9.478443069345644E-5
-0.08999999999999994      -9.084243580023597E-5
-0.09500000000000006      -8.708545308831701E-5
-0.0999999999999999       -8.352423686154715E-5
-0.10500000000000001      -8.016227436055613E-5
-0.11000000000000013      -7.699778259699674E-5
-0.11499999999999999      -7.402529168751854E-5
-0.1200000000000001       -7.12368716964779E-5
-0.12499999999999994      -6.862306387527834E-5
-0.13000000000000006      -6.617357398271252E-5
-0.13500000000000004      -6.387777789911178E-5
-0.14000000000000004      -6.172508113462156E-5
-0.14500000000000002      -5.9705166126338636E-5
-0.15                     -5.7808154824374065E-5
-0.15499999999999997      -5.60247085490213E-5
-0.1600000000000001       -5.434608222426599E-5
-0.16499999999999995      -5.276414599649739E-5
-0.17000000000000007      -5.127138403013912E-5
-0.1749999999999999       -4.986150663432662E-5
-0.18000000000000002      -4.852818185705116E-5
-0.18500000000000014      -4.726382802336796E-5
-0.19                     -4.606464728698686E-5
-0.19500000000000012      -4.492592405470554E-5
-0.19999999999999996      -4.384225307505653E-5
-0.20500000000000007      -4.280960222041894E-5
-0.21000000000000005      -4.182475026565127E-5
-0.21500000000000002      -4.08844056114249E-5
-0.22000000000000003      -3.998539492723228E-5
-0.22499999999999998      -3.9124936456373146E-5
-0.22999999999999998      -3.830053782215936E-5
-0.2350000000000001       -3.750987567050933E-5
-0.23999999999999994      -3.675080410302848E-5
-0.24500000000000005      -3.602136852292009E-5
-0.2499999999999999       -3.531977904396457E-5
-0.255                    -3.464438506831479E-5
-0.2600000000000001       -3.399366509625352E-5
-0.26499999999999996      -3.3366217815319924E-5
-0.2700000000000001       -3.276074998126015E-5
-0.27499999999999997      -3.217606546863187E-5
-0.2800000000000001       -3.161105669323492E-5
-0.28500000000000003      -3.1064696863721173E-5
-0.29000000000000004      -3.053603260353196E-5
-0.295                    -3.0024177344330813E-5
-0.3                      -2.952830553252685E-5
