% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 29 2022, 21:46
% Dimension:          1
% Nodes:              121
% Expressions:        1
% Description:        Global
% -E_time (V)             Value
-0.3                      1.9551758966911377E-8
-0.29                     8.54968125234753E-9
-0.27999999999999997      1.0386407078315485E-8
-0.27                     1.4023275077405458E-8
-0.26                     2.0263711337810814E-8
-0.25                     2.933968617838116E-8
-0.24                     4.439315041147016E-8
-0.22999999999999998      6.68272171863371E-8
-0.21999999999999997      9.87818235918222E-8
-0.21                     1.4583945315548003E-7
-0.2                      2.1521506464741227E-7
-0.19                     3.1744304296595006E-7
-0.18                     4.680838543671642E-7
-0.16999999999999998      6.899986837531951E-7
-0.16                     1.0167406918593366E-6
-0.15                     1.4974649658007313E-6
-0.13999999999999999      2.224617917936934E-6
-0.13                     3.2761401002434754E-6
-0.12                     4.8132225905765405E-6
-0.11000000000000001      7.054830837309724E-6
-0.1                      1.0309214206733259E-5
-0.09                     1.5001967068305964E-5
-0.07999999999999999      2.1702302458806075E-5
-0.06999999999999998      3.113421918991073E-5
-0.06                     4.4145653412999514E-5
-0.05000000000000002      6.159165126014546E-5
-0.03999999999999998      8.407929737127335E-5
-0.02999999999999997      1.1155357905170927E-4
-0.020000000000000018     1.4278832222884615E-4
-0.009999999999999953     1.7542218970514862E-4
0                         2.0569351927537914E-4
0.009999999999999953      2.2970259599287024E-4
0.020000000000000018      2.448284061890982E-4
0.030000000000000027      2.505499469839012E-4
0.03999999999999998       2.482582823568548E-4
0.04999999999999993       2.4033696091184622E-4
0.06                      2.292072542701587E-4
0.07                      2.1677801915885456E-4
0.07999999999999996       2.0431229710645782E-4
0.09000000000000002       1.92525821776661E-4
0.09999999999999998       1.817519470807498E-4
0.10999999999999999       1.720891549915011E-4
0.12                      1.6350698032433425E-4
0.12999999999999995       1.5591330587053445E-4
0.14                      1.4919352376369875E-4
0.14999999999999997       1.4323153160479546E-4
0.16000000000000003       1.379198629171306E-4
0.16999999999999998       1.331636998146476E-4
0.18                      1.2888164886324524E-4
0.19                      1.2500494414199382E-4
0.19999999999999996       1.2147599752359928E-4
0.21000000000000002       1.1824678021078528E-4
0.22000000000000003       1.1527727252804511E-4
0.23000000000000004       1.1253408359123501E-4
0.24000000000000005       1.0999181123232414E-4
0.24999999999999994       1.0762335727393241E-4
0.25999999999999995       1.054096547606953E-4
0.26999999999999996       1.033345246260402E-4
0.2800000000000001        1.0138345580982683E-4
0.29                      9.954330679413712E-5
0.3                       9.780344050009212E-5
0.29                      9.614832198773186E-5
0.2800000000000001        9.457710369392884E-5
0.26999999999999996       9.308436096106024E-5
0.25999999999999995       9.165945480773882E-5
0.25000000000000006       9.029478909531402E-5
0.23999999999999994       8.898510409380479E-5
0.22999999999999993       8.772396355112627E-5
0.22000000000000003       8.650355354616468E-5
0.21000000000000002       8.53152013970505E-5
0.20000000000000012       8.414846834081159E-5
0.19                      8.298962885040671E-5
0.18                      8.182004631787083E-5
0.16999999999999993       8.061388525083167E-5
0.15999999999999998       7.933095530371465E-5
0.14999999999999997       7.792929872084497E-5
0.14                      7.632554043580827E-5
0.13000000000000006       7.441228619690086E-5
0.12                      7.20347892984575E-5
0.10999999999999999       6.897123420462481E-5
0.10000000000000003       6.490954514688419E-5
0.09000000000000008       5.941957000717965E-5
0.07999999999999996       5.192722967739804E-5
0.07                      4.170461206074914E-5
0.06000000000000005       2.7903532217920566E-5
0.0500000000000001        9.676898985465761E-6
0.04000000000000015       -1.3560961656535745E-5
0.029999999999999916      -4.171850893260164E-5
0.019999999999999907      -7.355464082255632E-5
0.009999999999999953      -1.0643390053035699E-4
0                         -1.3667129429111938E-4
-0.009999999999999953     -1.6057649296534577E-4
-0.020000000000000073     -1.7574124614579018E-4
-0.030000000000000027     -1.8176835178752772E-4
-0.03999999999999998      -1.800391932027614E-4
-0.04999999999999993      -1.72842789510203E-4
-0.06000000000000005      -1.6249618436515705E-4
-0.07                     -1.5083625705504042E-4
-0.07999999999999999      -1.3909104373927068E-4
-0.08999999999999994      -1.2796658452700146E-4
-0.0999999999999999       -1.1779941999601846E-4
-0.11000000000000013      -1.0869597385392815E-4
-0.1200000000000001       -1.0063434348960392E-4
-0.13000000000000006      -9.352992421154339E-5
-0.14000000000000004      -8.72741433135828E-5
-0.15                     -8.175555119319159E-5
-0.1600000000000001       -7.68702046563184E-5
-0.17000000000000007      -7.252593869578762E-5
-0.18000000000000002      -6.864336244253027E-5
-0.19                     -6.515523581632667E-5
-0.19999999999999996      -6.200514860505956E-5
-0.21000000000000005      -5.9145992959917385E-5
-0.22000000000000003      -5.653847753694707E-5
-0.22999999999999998      -5.4149795208271064E-5
-0.23999999999999994      -5.195248021303538E-5
-0.2499999999999999       -4.992345165311157E-5
-0.2600000000000001       -4.804322417363315E-5
-0.2700000000000001       -4.629526255188189E-5
-0.2800000000000001       -4.4665457464883174E-5
-0.29000000000000004      -4.3141701574263195E-5
-0.3                      -4.171449691036611E-5
